,class,message
0,ham,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat
1,ham,ok lar joking wif u oni
2,spam,free entry in  a wkly comp to win fa cup final tkts st may  text fa to  to receive entry questionstd txt ratetcs apply overs
3,ham,u dun say so early hor u c already then say
4,ham,nah i dont think he goes to usf he lives around here though
5,spam,freemsg hey there darling its been  weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send å to rcv
6,ham,even my brother is not like to speak with me they treat me like aids patent
7,ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press  to copy your friends callertune
8,spam,winner as a valued network customer you have been selected to receivea å prize reward to claim call  claim code kl valid  hours only
9,spam,had your mobile  months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 
10,ham,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today
11,spam,six chances to win cash from  to  pounds txt csh and send to  cost pday days  tsandcs apply reply hl  info
12,spam,urgent you have won a  week free membership in our å prize jackpot txt the word claim to no  tc  lccltd pobox ldnwarw
13,ham,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times
14,ham,i have a date on sunday with will
15,spam,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here  xxxmobilemovieclubcomnqjkgighjjgcbl
16,ham,oh kim watching here
17,ham,eh u remember how  spell his name yes i did he v naughty make until i v wet
18,ham,fine if thatåõs the way u feel thatåõs the way its gota b
19,spam,england v macedonia  dont miss the goalsteam news txt ur national team to  eg england to  trywales scotland txtì¼ poboxoxwwq 
20,ham,is that seriously how you spell his name
21,ham,iûm going to try for  months ha ha only joking
22,ham,so ì_ pay first lar then when is da stock comin
23,ham,aft i finish my lunch then i go str down lor ard  smth lor u finish ur lunch already
24,ham,ffffffffff alright no way i can meet up with you sooner
25,ham,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol
26,ham,lol your always so convincing
27,ham,did you catch the bus  are you frying an egg  did you make a tea are you eating your moms left over dinner  do you feel my love 
28,ham,im back amp were packing the car now ill let you know if theres room
29,ham,ahhh work i vaguely remember that what does it feel like lol
30,ham,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us
31,ham,yeah he got in at  and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till  but we wont go there not doing too badly cheers you 
32,ham,k tell me anything about you
33,ham,for fear of fainting with the of all that housework you just did quick have a cuppa
34,spam,thanks for your subscription to ringtone uk your mobile will be charged åmonth please confirm by replying yes or no if you reply no you will not be charged
35,ham,yup ok i go home look at the timings then i msg ì_ again xuhui going to learn on nd may too but her lesson is at am
36,ham,oops ill let you know when my roommates done
37,ham,i see the letter b on my car
38,ham,anything lor u decide
39,ham,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything
40,ham,pls go ahead with watts i just wanted to be sure do have a great weekend abiola
41,ham,did i forget to tell you  i want you  i need you i crave you  but most of all  i love you my sweet arabian steed  mmmmmm  yummy
42,spam,  rodger burns  msg  we tried to call you re your reply to our sms for a free nokia mobile  free camcorder please call now  for delivery tomorrow
43,ham,who are you seeing
44,ham,great i hope you like your man well endowed i am  ltgt  inches
45,ham,no callsmessagesmissed calls
46,ham,didnt you get hep b immunisation in nigeria
47,ham,fair enough anything going on
48,ham,yeah hopefully if tyler cant do it i could maybe ask around a bit
49,ham,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers
50,ham,what you thinked about me first time you saw me in class
51,ham,a gram usually runs like  ltgt  a half eighth is smarter though and gets you almost a whole second gram for  ltgt
52,ham,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight
53,ham,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing
54,spam,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv
55,ham,do you know what mallika sherawat did yesterday find out now   lturlgt
56,spam,congrats  year special cinema pass for  is yours call  now c suprman v matrix starwars etc all  free bxipwe pm dont miss out 
57,ham,sorry ill call later in meeting
58,ham,tell where you reached
59,ham,yesgauti and sehwag out of odi series
60,ham,your gonna have to pick up a  burger for yourself on your way home i cant even move pain is killing me
61,ham,ha ha ha good joke girls are situation seekers
62,ham,its a part of checking iq
63,ham,sorry my roommates took forever it ok if i come by now
64,ham,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice
65,spam,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a å bonus prize call 
66,ham,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me
67,spam,urgent ur awarded a complimentary trip to eurodisinc trav acoentry or å to claim txt dis to  åmorefrmmob shracomorsglsuplt ls aj
68,spam,did you hear about the new divorce barbie it comes with all of kens stuff
69,ham,i plane to give on this month end
70,ham,wah lucky man then can save money hee
71,ham,finished class where are you
72,ham,hi babe im at home now wanna do something xx
73,ham,kkwhere are youhow did you performed
74,ham,u can call me now
75,ham,i am waiting machan call me once you free
76,ham,thats cool i am a gentleman and will treat you with dignity and respect
77,ham,i like you peoples very much but am very shy pa
78,ham,does not operate after  ltgt  or what
79,ham,its not the same here still looking for a job how much do tas earn there
80,ham,sorry ill call later
81,ham,k did you call me just now ah 
82,ham,ok i am on the way to home hi hi
83,ham,you will be in the place of that man
84,ham,yup next stop
85,ham,i call you later dont have network if urgnt sms me
86,ham,for real when u getting on yo i only need  more tickets and one more jacket and im done i already used all my multis
87,ham,yes i started to send requests to make it but pain came back so im back in bed double coins at the factory too i gotta cash in all my nitros
88,ham,im really not up to it still tonight babe
89,ham,ela kanoil download come wen ur free
90,ham,yeah do donût stand to close tho youûll catch something
91,ham,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i havent done any of y stuffmoro and that includes all my time sheets and that sorry 
92,ham,smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling
93,spam,please call our customer service representative on    between ampm as you have won a guaranteed å cash or å prize
94,ham,havent planning to buy later i check already lido only got  show in e afternoon u finish work already
95,spam,your free ringtone is waiting to be collected simply text the password mix to  to verify get usher and britney fml  po box   mk h ppw 
96,ham,watching telugu moviewat abt u
97,ham,i see when we finish we have loads of loans to pay
98,ham,"hi wk been ok  on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for uham"
99,ham,please dont text me anymore i have nothing else to say
100,ham,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx
101,ham,im still looking for a car to buy and have not gone the driving test yet
102,ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press  to copy your friends callertune
103,ham,wow youre right i didnt mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston
104,ham,umma my life and vava umma love you lot dear
105,ham,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable
106,ham,aight ill hit you up when i get some cash
107,ham,how would my ip address test that considering my computer isnt a minecraft server
108,ham,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes
109,ham,dont worry i guess hes busy
110,ham,what is the plural of the noun research
111,ham,going for dinnermsg you after
112,ham,im ok wif it cos i like  try new things but i scared u dun like mah cos u said not too loud
113,spam,gent we are trying to contact you last weekends draw shows that you won a å prize guaranteed call  claim code k valid hrs only ppm
114,ham,wa ur openin sentence very formal anyway im fine too juz tt im eatin too much n puttin on weighthaha so anythin special happened
115,ham,as i entered my cabin my pa said  happy bday boss  i felt special she askd me  lunch after lunch she invited me to her apartment we went there
116,spam,you are a winner u have been specially selected  receive å or a  holiday flights inc speak to a live operator  claim pmin  
117,ham,goodo yes we must speak friday  eggpotato ratio for tortilla needed 
118,ham,hmmmy uncle just informed me that hes paying the school directly so pls buy food
119,spam,private your  account statement for  shows  unredeemed bonus points to claim call  identifier code  expires
120,spam,urgent your mobile no was awarded å bonus caller prize on  this is our final try to contact u call from landline  boxwrc ppm
121,ham,here is my new address applespairsall that malarky
122,spam,todays voda numbers ending  are selected to receive a  award if you have a match please call  quoting claim code  standard rates app
123,ham,i am going to sao mu today will be done only at  
124,ham,ìï predict wat time ì_ll finish buying
125,ham,good stuff will do
126,ham,just so that you knowyetunde hasnt sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldnt have imposed anything on you in the first place so for that i apologise
127,ham,are you there in room
128,ham,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx
129,ham,kkhow much does it cost
130,ham,im home
131,ham,dear will call tmorrowpls accomodate
132,ham,first answer my question
133,spam,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to  å sptyrone
134,spam,want  get laid tonight want real dogging locations sent direct  ur mob join the uks largest dogging network bt txting gravel to  nt eca pmsgp
135,ham,i only haf msn its yijuehotmailcom
136,ham,he is there you call and meet him
137,ham,no no i will check all rooms befor activities
138,spam,youll not rcv any more msgs from the chat svc for free hardcore services text go to  if u get nothing u must age verify with yr network  try again
139,ham,got c i lazy to type i forgot ì_ in lect i saw a pouch but like not v nice
140,ham,k text me when youre on the way
141,ham,sir waiting for your mail
142,ham,a swt thought nver get tired of doing little things  lovable persons cozsomtimes those little things occupy d biggest part in their hearts gud ni
143,ham,i know you are can you pls open the back
144,ham,yes see ya not on the dot
145,ham,whats the staff name who is taking class for us
146,spam,freemsg why havent you replied to my text im randy sexy female and live local luv to hear from u netcollex ltd p per msg reply stop to end
147,ham,ummmawill call after check inour life will begin from qatar so pls pray very hard
148,ham,ki deleted my contact that why
149,ham,sindu got job in birla soft 
150,ham,the wine is flowing and im i have nevering
151,ham,yup i thk cine is better cos no need  go down  plaza mah
152,ham,ok ur typical reply
